Date,Adj Close,Open,High,Low,Vol.,Change %
24-Mar-20,0.63,0.625,0.66,0.625,40.90M,3.28%
23-Mar-20,0.61,0.6,0.65,0.57,72.92M,-10.29%
20-Mar-20,0.68,0.52,0.705,0.51,129.12M,30.77%
19-Mar-20,0.52,0.595,0.61,0.5,48.54M,-14.75%
18-Mar-20,0.61,0.65,0.65,0.6,30.43M,-2.40%
17-Mar-20,0.625,0.625,0.665,0.58,74.25M,-10.71%
16-Mar-20,0.7,0.795,0.795,0.7,49.43M,-14.63%
13-Mar-20,0.82,0.85,0.865,0.79,49.07M,-7.87%
12-Mar-20,0.89,0.95,0.955,0.89,30.55M,-8.25%
11-Mar-20,0.97,0.97,0.995,0.97,15.56M,0.00%
10-Mar-20,0.97,0.985,1.01,0.965,31.77M,-2.02%
9-Mar-20,0.99,1.04,1.04,0.99,37.49M,-5.71%
6-Mar-20,1.05,1.08,1.1,1.05,26.14M,-3.67%
5-Mar-20,1.09,1.09,1.13,1.08,38.37M,1.87%
4-Mar-20,1.07,1.02,1.08,1.02,31.09M,4.90%
3-Mar-20,1.02,1.05,1.06,1.02,33.71M,-0.97%
2-Mar-20,1.03,1.01,1.06,0.98,51.80M,3.00%
28-Feb-20,1,1.1,1.1,1,76.69M,-9.91%
27-Feb-20,1.11,1.14,1.15,1.11,26.56M,-2.63%
26-Feb-20,1.14,1.13,1.15,1.12,27.76M,-0.87%
25-Feb-20,1.15,1.1,1.16,1.1,32.35M,4.55%
24-Feb-20,1.1,1.13,1.15,1.1,57.56M,-5.17%
21-Feb-20,1.16,1.19,1.19,1.16,14.26M,-2.52%
20-Feb-20,1.19,1.16,1.19,1.16,30.04M,3.48%
19-Feb-20,1.15,1.18,1.18,1.15,31.52M,-3.36%
18-Feb-20,1.19,1.19,1.19,1.16,36.33M,0.00%
17-Feb-20,1.19,1.22,1.23,1.18,20.57M,-0.83%
14-Feb-20,1.2,1.19,1.23,1.17,47.94M,2.56%
13-Feb-20,1.17,1.19,1.2,1.16,30.61M,-2.50%
